State Name,Dist Name,RICE YIELD (Kg per ha),MAIZE YIELD (Kg per ha),CHICKPEA YIELD (Kg per ha),PIGEONPEA YIELD (Kg per ha),COTTON YIELD (Kg per ha)
Karnataka,Kolar,2210.24825,2659.5775000000003,450.08425,617.07725,165.04225
Karnataka,Mandya,3126.048,2307.14025,463.24125000000004,370.83675,61.72975
Karnataka,Mysore,2975.2692500000003,3015.7445,481.2365,450.37025000000006,230.906
Karnataka,Raichur,2910.9375,2876.6115,446.98225,335.24475,242.37600000000003
Karnataka,Shimoge,2316.7017499999997,3416.8275000000003,456.61899999999997,643.458,303.5195
Karnataka,Tumkur,2567.195,2510.977,459.03900000000004,413.878,347.66625
Karnataka,Uttara Kannada,1780.9345,2752.96525,418.98625000000004,457.18475,239.712
Kerala,Alappuzha,2364.71875,0.0,0.0,0.0,0.0
Kerala,Eranakulam,1818.22425,153.645,0.0,100.0,0.0
Kerala,Kannur,1880.5760000000002,0.0,0.0,126.20225,0.0
Kerala,Kollam,2143.56525,0.0,0.0,0.0,0.0
Kerala,Kottayam,2399.8585,153.645,0.0,100.0,0.0
Kerala,Kozhikode,1853.3242500000001,0.0,0.0,126.7325,0.0
Kerala,Malappuram,1874.3122500000002,0.0,0.0,0.0,0.0
Kerala,Palakkad,2271.953,264.30725,0.0,232.55300000000003,270.04775
Kerala,Thiruvananthapuram,2014.298,0.0,0.0,0.0,0.0
Kerala,Thrissur,2100.36325,0.0,0.0,0.0,0.0
Madhya Pradesh,Balaghat,1244.0504999999998,1542.9122499999999,721.49725,1121.70475,0.0
Madhya Pradesh,Betul,1080.5967500000002,1569.46925,569.4680000000001,686.9300000000001,105.16225
Madhya Pradesh,Bhind,2046.88625,117.30774999999998,1069.6102500000002,742.4955,0.0
Madhya Pradesh,Chhatarpur,677.84375,825.8860000000001,926.43125,539.21975,0.0
Madhya Pradesh,Chhindwara,946.10825,2363.93125,1072.6879999999999,1444.7247499999999,342.5585
Madhya Pradesh,Damoh,745.2115,1532.6905000000002,726.975,703.5649999999999,0.0
Madhya Pradesh,Datia,898.4917499999999,1133.16425,1026.652,569.4002499999999,0.0
Madhya Pradesh,Dewas,588.5375,1292.3665,996.6764999999999,691.8475000000001,170.31
Madhya Pradesh,Dhar,551.54675,1560.97975,772.95225,574.61325,182.237
Madhya Pradesh,Guna,800.51275,1216.5945,835.28125,585.39475,7.7625
Madhya Pradesh,Gwalior,1851.4695,1360.94275,1011.6744999999999,606.9615,0.0
Madhya Pradesh,Hoshangabad,1355.77225,1601.49125,1040.78225,1159.0285,148.43225
Madhya Pradesh,Indore,325.982,1223.5742500000001,883.62325,652.37175,79.92275
Madhya Pradesh,Jabalpur,822.57025,1293.5335,827.23825,1040.947,0.0
Madhya Pradesh,Jhabua,506.13325000000003,1275.404,634.66875,550.4390000000001,122.768
Madhya Pradesh,Khandwa / East Nimar,847.0325,1871.25275,833.35625,937.7047500000001,130.26475
Madhya Pradesh,Khargone / West Nimar,553.943,1647.1795000000002,700.233,554.265,165.27575
Madhya Pradesh,Mandla,823.46425,1467.5605,619.2425000000001,938.6344999999999,0.0
Madhya Pradesh,Mandsaur,362.81475,1655.5310000000002,836.61775,582.4399999999999,116.63250000000001
Madhya Pradesh,Morena,2040.1037499999998,1123.708,1202.3975,914.274,23.933
Madhya Pradesh,Narsinghpur,1255.44775,1736.2587500000002,985.51325,1358.6065,0.0
Madhya Pradesh,Panna,664.19775,990.49575,742.03525,586.78825,0.0
Madhya Pradesh,Raisen,914.8504999999999,1485.5120000000002,959.0397499999999,747.38725,0.0
Madhya Pradesh,Rajgarh,643.8065,1096.34725,916.3430000000001,580.2985,37.39475
Madhya Pradesh,Ratlam,550.3435000000001,1662.0245,705.325,765.36,179.64225
Madhya Pradesh,Rewa,877.8299999999999,882.5887500000001,877.4834999999999,544.8045,0.0
Madhya Pradesh,Sagar,610.7925,1231.4895000000001,743.2207500000001,663.35225,0.0
Madhya Pradesh,Satna,835.5497499999999,973.9945,616.82475,531.0074999999999,0.0
Madhya Pradesh,Sehore,1074.5432500000002,1315.0104999999999,908.5762500000001,725.719,66.58975000000001
Madhya Pradesh,Seoni / Shivani,1184.8015,1387.2217500000002,617.30975,1120.618,5.0
Madhya Pradesh,Shahdol,871.3547500000001,1041.47725,502.93,529.12625,10.588249999999999
Madhya Pradesh,Shajapur,550.4075,1412.69025,836.42725,625.238,36.60475
Madhya Pradesh,Shivpuri,1087.9055,1367.0147499999998,937.2275,534.64525,35.19775
Madhya Pradesh,Sidhi,752.98525,1266.7805,551.28925,594.03125,0.0
Madhya Pradesh,Tikamgarh,582.04,984.018,1051.87725,559.71,0.0
Madhya Pradesh,Ujjain,294.16675,1206.24825,826.128,675.16675,57.66675
Madhya Pradesh,Vidisha,693.99425,1507.7165,911.77975,658.96025,0.0
Maharashtra,Ahmednagar,1141.41075,1882.6439999999998,579.7695,473.4045,248.3145
Maharashtra,Akola,605.3117500000001,1560.6012500000002,595.78775,790.6195,167.2205
Maharashtra,Amarawati,626.28125,1619.304,699.208,844.99575,182.02224999999999
Maharashtra,Aurangabad,554.891,1848.0720000000001,542.69425,487.6435,177.54825
Maharashtra,Beed,589.4092499999999,1261.80475,479.75100000000003,453.14075,157.37175
Maharashtra,Bhandara,1325.7307500000002,1171.68375,429.8595,698.26375,11.842
Maharashtra,Bombay,435.38194444444446,27.77777777777778,0.0,0.0,0.0
Maharashtra,Buldhana,495.776,1774.923,607.2462499999999,692.7185,164.03199999999998
Maharashtra,Chandrapur,1208.73,1504.16,417.44175000000007,649.3585,183.91475
Maharashtra,Dhule,837.497,1740.12025,718.6867500000001,590.66575,180.4725
Maharashtra,Jalgaon,887.36925,1924.78325,804.0045,732.631,217.35924999999997
Maharashtra,Kolhapur,2468.8962500000002,2052.66325,733.74825,499.055,143.59825
Maharashtra,Nagpur,1276.53225,1130.324,549.022,656.5024999999999,197.9155
Maharashtra,Nanded,734.05575,1302.0205,546.6835,608.57325,125.5675
Maharashtra,Nasik,1167.452,2028.02475,570.5825,647.06875,235.70999999999998
Maharashtra,Osmanabad,532.371,995.8855,526.894,610.62825,161.26275
Maharashtra,Parbhani,588.0617500000001,1290.815,562.7045,607.95925,183.792
Maharashtra,Pune,1383.5515,2019.0994999999998,630.58325,543.1735,282.10974999999996
Maharashtra,Raigad,2283.24725,625.41675,497.93850000000003,537.1229999999999,0.0
Maharashtra,Ratnagiri,2358.346,1255.8442499999999,87.5,514.351,0.0
Maharashtra,Sangli,2053.272,1905.5127499999999,632.0542499999999,482.58149999999995,262.0365
Maharashtra,Satara,1730.4645,1719.498,597.0065,484.1445,281.97525
Maharashtra,Solapur,857.8950000000001,1568.63625,508.035,330.02025,278.12375000000003
Maharashtra,Thane,2041.1482499999997,1269.28575,588.00275,533.3712499999999,0.0
Maharashtra,Wardha,634.477,649.7315,539.29175,911.12325,194.86700000000002
Maharashtra,Yeotmal,600.69775,1574.1619999999998,617.41625,856.7104999999999,161.443
Orissa,Balasore,1436.19875,1279.69375,619.2475000000001,639.1955,30.06125
Orissa,Bolangir,1462.61825,1206.9575,560.7455,680.9775,381.23725
Orissa,Cuttack,1403.44325,1277.83975,606.85975,671.325,46.0555
Orissa,Dhenkanal,1300.83,1058.75875,561.9100000000001,698.42825,121.37925
Orissa,Ganjam,1565.01675,1385.9565,702.2167499999999,758.45775,358.3835
Orissa,Kalahandi,1135.364,1540.51025,679.1257499999999,694.51675,395.84675
Orissa,Keonjhar,1167.34725,1214.016,753.39175,807.5600000000001,27.5965
Orissa,Koraput,1370.9582500000001,1832.83225,570.325,726.0545,476.4285
Orissa,Mayurbhanja,1268.3487499999999,1241.66425,676.2439999999999,800.5260000000001,44.838499999999996
Orissa,Phulbani ( Kandhamal ),1284.901,1459.25975,548.0505,725.9472499999999,315.991
Orissa,Puri,1391.8422500000001,1240.72975,591.3222499999999,707.30225,53.104
Orissa,Sambalpur,1606.132,1468.551,574.992,796.0082500000001,268.48699999999997
Orissa,Sundargarh,1048.91775,1294.86925,584.8439999999999,737.0625,54.42375
Punjab,Amritsar,2816.03625,2688.2035,594.6587499999999,828.77775,286.616
Punjab,Bhatinda,3730.4205,912.98975,887.7715000000001,839.5885000000001,503.11199999999997
Punjab,Ferozpur,3580.1835,1199.80225,961.5690000000001,859.5125,494.2245
Punjab,Gurdaspur,2808.3365000000003,1916.6127499999998,704.48875,100.0,41.25
Punjab,Hoshiarpur,3052.55275,2535.54275,686.245,625.922,90.89275
